Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8589±0.0037,0.8071±0.0057,0.7386±0.0087,0.2593±0.0202,0.1792±0.0112,0.1461±0.0077,0.1203±0.0077,0.5972±0.0049,0.4437±0.0098,0.2923±0.0107,0.1769±0.0085,14.3961±0.5464,16.7859±0.6491,19.9012±0.6006,24.1451±0.9625,0.7028±0.0053,0.6445±0.0089,0.5685±0.0111,0.4529±0.0152,0.2092±0.0143,0.2423±0.0181,0.3101±0.0256,0.4361±0.0304,0.0939±0.0026,0.1191±0.0053,0.1554±0.0059,0.2142±0.0103
br,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8609±0.0044,0.8090±0.0061,0.7402±0.0059,0.2593±0.0202,0.1768±0.0113,0.1476±0.0097,0.1200±0.0058,0.5972±0.0049,0.4456±0.0084,0.2986±0.0133,0.1779±0.0087,14.3961±0.5464,16.6623±0.6862,19.6715±0.6723,24.0262±0.6634,0.7028±0.0053,0.6457±0.0091,0.5748±0.0128,0.4516±0.0158,0.2092±0.0143,0.2437±0.0258,0.2960±0.0248,0.4378±0.0291,0.0939±0.0026,0.1177±0.0051,0.1530±0.0060,0.2141±0.0069
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.9135±0.0038,0.8627±0.0047,0.8088±0.0076,0.7413±0.0074,0.2622±0.0163,0.1773±0.0093,0.1446±0.0089,0.1192±0.0054,0.5946±0.0068,0.4385±0.0115,0.2873±0.0110,0.1777±0.0089,14.5430±0.6457,16.5844±0.6916,20.0029±0.6892,24.1146±0.6611,0.7005±0.0052,0.6425±0.0087,0.5755±0.0126,0.4643±0.0120,0.2145±0.0153,0.2419±0.0185,0.2906±0.0251,0.4054±0.0174,0.0963±0.0043,0.1176±0.0056,0.1556±0.0068,0.2119±0.0067
