Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7771186440677966,0.012936521120255992
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.3102976783933913,0.043417852612470484
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6728958702124916,0.01597563817069007
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7829938755163082,0.01731775998123337
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.32377154251531126,0.028894752447372645
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6621527254969783,0.020844245053595927
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.776544176992831,0.01544607014183814
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.3102976783933913,0.03896029029237941
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6724913694291275,0.015222256528501704
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7818663058443716,0.015756852873582562
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.3204244409628258,0.018736624193756296
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.6552956097693312,0.01705183069423655
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.7641646489104116,0.021425947746974892
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.28829226605896596,0.03686293729333561
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.6701048894133923,0.025952068341199938
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.7675426102644447,0.01928158952565362
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.29505768409058536,0.03905398008225418
