Algorithm,afrd__0.0__mean,afrd__0.0__operator,afrd__0.0__std,afrd__0.1__mean,afrd__0.1__operator,afrd__0.1__std,afrd__0.2__mean,afrd__0.2__operator,afrd__0.2__std,afrd__0.3__mean,afrd__0.3__operator,afrd__0.3__std,f1__0.0__mean,f1__0.0__operator,f1__0.0__std,f1__0.1__mean,f1__0.1__operator,f1__0.1__std,f1__0.2__mean,f1__0.2__operator,f1__0.2__std,f1__0.3__mean,f1__0.3__operator,f1__0.3__std,hamming_accuracy__0.0__mean,hamming_accuracy__0.0__operator,hamming_accuracy__0.0__std,hamming_accuracy__0.1__mean,hamming_accuracy__0.1__operator,hamming_accuracy__0.1__std,hamming_accuracy__0.2__mean,hamming_accuracy__0.2__operator,hamming_accuracy__0.2__std,hamming_accuracy__0.3__mean,hamming_accuracy__0.3__operator,hamming_accuracy__0.3__std,mfrd__0.0__mean,mfrd__0.0__operator,mfrd__0.0__std,mfrd__0.1__mean,mfrd__0.1__operator,mfrd__0.1__std,mfrd__0.2__mean,mfrd__0.2__operator,mfrd__0.2__std,mfrd__0.3__mean,mfrd__0.3__operator,mfrd__0.3__std,subset0_1__0.0__mean,subset0_1__0.0__operator,subset0_1__0.0__std,subset0_1__0.1__mean,subset0_1__0.1__operator,subset0_1__0.1__std,subset0_1__0.2__mean,subset0_1__0.2__operator,subset0_1__0.2__std,subset0_1__0.3__mean,subset0_1__0.3__operator,subset0_1__0.3__std
PartialOrder__Hamming__2,0.1417,±,0.0243,0.1804,±,0.028,0.292,±,0.0233,0.439,±,0.0388,0.6722,±,0.0246,0.6567,±,0.0194,0.611,±,0.0176,0.5468,±,0.022,0.7675,±,0.0193,0.7288,±,0.0238,0.6567,±,0.021,0.5585,±,0.028,0.3096,±,0.0914,0.3431,±,0.0636,0.5159,±,0.0356,0.6572,±,0.0687,0.2951,±,0.0391,0.2411,±,0.0347,0.1349,±,0.0239,0.0489,±,0.0146
PartialOrder__Hamming__None,0.1428,±,0.0207,0.189,±,0.0225,0.3057,±,0.0221,0.4541,±,0.0328,0.6701,±,0.026,0.6544,±,0.0191,0.6114,±,0.0188,0.5492,±,0.0216,0.7642,±,0.0214,0.7256,±,0.0238,0.6541,±,0.0198,0.5575,±,0.0285,0.325,±,0.0793,0.3609,±,0.0606,0.5294,±,0.0477,0.6694,±,0.0737,0.2883,±,0.0369,0.2327,±,0.0361,0.134,±,0.0318,0.0497,±,0.0166
PartialOrder__Subset__2,0.1414,±,0.0241,0.179,±,0.028,0.2913,±,0.023,0.4394,±,0.0388,0.6718,±,0.0246,0.6555,±,0.0185,0.6094,±,0.0183,0.5468,±,0.0216,0.7675,±,0.0197,0.7282,±,0.0234,0.6554,±,0.0213,0.5583,±,0.0278,0.3064,±,0.0917,0.3392,±,0.0587,0.5155,±,0.037,0.6583,±,0.069,0.2951,±,0.0408,0.2386,±,0.0337,0.1332,±,0.0241,0.0489,±,0.0146
PartialOrder__Subset__None,0.1447,±,0.0191,0.189,±,0.0226,0.3065,±,0.0217,0.4549,±,0.0341,0.6693,±,0.0252,0.654,±,0.019,0.6113,±,0.0186,0.549,±,0.0213,0.7636,±,0.0209,0.7254,±,0.0238,0.6541,±,0.0196,0.5572,±,0.0276,0.325,±,0.0793,0.3609,±,0.0606,0.5294,±,0.0477,0.6706,±,0.074,0.2866,±,0.037,0.2327,±,0.0361,0.1332,±,0.0321,0.0497,±,0.0166
PreOrder__Hamming__2,0.184,±,0.0259,0.185,±,0.0314,0.1983,±,0.0349,0.1663,±,0.0568,0.6622,±,0.0208,0.6697,±,0.0164,0.6408,±,0.0205,0.5995,±,0.0233,0.783,±,0.0173,0.7834,±,0.0122,0.7611,±,0.0171,0.7257,±,0.0216,0.4376,±,0.1117,0.4074,±,0.0987,0.4551,±,0.0872,0.3833,±,0.0973,0.3238,±,0.0289,0.3136,±,0.0313,0.2589,±,0.0321,0.1881,±,0.0402
PreOrder__Hamming__None,0.1594,±,0.0173,0.1579,±,0.0246,0.1786,±,0.0307,0.1969,±,0.0433,0.6729,±,0.016,0.6742,±,0.0121,0.6528,±,0.0183,0.5943,±,0.0183,0.7771,±,0.0129,0.7736,±,0.012,0.7432,±,0.014,0.6807,±,0.0185,0.3568,±,0.1144,0.3214,±,0.0477,0.3744,±,0.0838,0.3554,±,0.0766,0.3103,±,0.0434,0.2841,±,0.0391,0.2124,±,0.0324,0.1146,±,0.0185
PreOrder__Subset__2,0.1832,±,0.0289,0.1868,±,0.0283,0.2047,±,0.0349,0.1772,±,0.0549,0.6553,±,0.0171,0.6548,±,0.0166,0.6283,±,0.0191,0.5919,±,0.0234,0.7819,±,0.0158,0.7775,±,0.0149,0.7574,±,0.0135,0.7249,±,0.0215,0.4311,±,0.0981,0.4317,±,0.0786,0.4621,±,0.0968,0.3931,±,0.095,0.3204,±,0.0187,0.2918,±,0.0334,0.2445,±,0.0228,0.1872,±,0.0308
PreOrder__Subset__None,0.1609,±,0.0197,0.1564,±,0.0251,0.174,±,0.0309,0.2002,±,0.0437,0.6725,±,0.0152,0.6746,±,0.0117,0.6543,±,0.0168,0.5925,±,0.0155,0.7765,±,0.0154,0.7739,±,0.0117,0.7438,±,0.0123,0.679,±,0.0158,0.3489,±,0.1135,0.3235,±,0.0456,0.3713,±,0.0891,0.3606,±,0.0764,0.3103,±,0.039,0.2875,±,0.0339,0.2149,±,0.0327,0.1079,±,0.017
br,0.331,±,0.0252,0.3103,±,0.0372,0.3059,±,0.0258,0.2863,±,0.072,0.6194,±,0.025,0.617,±,0.0242,0.5853,±,0.0313,0.5274,±,0.0292,0.8198,±,0.0133,0.8121,±,0.0103,0.791,±,0.0095,0.7496,±,0.0142,0.6978,±,0.0896,0.6294,±,0.0952,0.6414,±,0.081,0.5358,±,0.1301,0.3305,±,0.0367,0.29,±,0.0338,0.2598,±,0.0387,0.1805,±,0.0345
cc,0.329,±,0.0158,0.296,±,0.0308,0.3309,±,0.0516,0.3029,±,0.0439,0.6239,±,0.02,0.6247,±,0.013,0.5744,±,0.0393,0.5128,±,0.0365,0.8139,±,0.012,0.8114,±,0.0085,0.7926,±,0.0145,0.746,±,0.0149,0.7331,±,0.0681,0.6661,±,0.0752,0.6542,±,0.083,0.5322,±,0.0867,0.3153,±,0.042,0.3128,±,0.0264,0.2487,±,0.0392,0.1703,±,0.0193
