Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7408669230404027,0.017703705186078375
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.21619142572283148,0.032232824774086274
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6460961130214795,0.017019193012443735
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.538325689597873,0.019036404802523395
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.6380114319340217,0.020462842654897527
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6537831037798268,0.01868621109394894
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.5507665822822898,0.020620431317570583
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5602403844668257,0.020134500075350403
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.7718391340576772,0.028292069986025226
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.785612161599905,0.02698915871109843
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.5951773726439727,0.017283811506392768
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7867431040212695,0.029912598417637108
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.35533201692541594,0.07750900000726099
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.16424699287029867,0.03417702969914226
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.775118559400329,0.016379606877224565
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.2706073720231248,0.042996042714546184
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6654922033133112,0.021042983975095745
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.568544114096457,0.02491246621837329
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.6332007895726739,0.023708676163635076
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7693530844178899,0.03148002720423393
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.6124865371997386,0.02337770326406635
