Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7629667662434653,0.025296183721915347
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.5413368185212846,0.03794036818936278
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6731640527757032,0.02680386254565458
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.636577358725417,0.03022681889176017
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5352035528366912,0.02922803211734421
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6182075265285182,0.02939908409970355
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.5043859577785671,0.03362061489098066
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5219967119584954,0.034567508856987
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6499583686874231,0.05493054121449878
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7591664938834749,0.02028296537703917
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.6380227781926812,0.030736776278807956
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7600821508588499,0.019741420131448938
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.39804438578710166,0.11868983323755337
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.28932212711593247,0.06416335546678727
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8501423552642261,0.01380203799059304
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.7142475869517277,0.018309858791648665
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.7285759072766212,0.018044627452428238
